Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.FontStyle,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,F:System.Drawing.FontStyle.Regular,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.Font,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,44,2,T:System.Windows.Forms.TextBoxBase,,,,,"public static bool FocusWithIndex(this TextBoxBase textBox, int? index)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,49,5,P:System.Windows.Forms.TextBoxBase.TextLength,,,,,"textBox.Select(index.Value > textBox.TextLength ? textBox.TextLength : index.Value, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,49,5,P:System.Windows.Forms.TextBoxBase.TextLength,,,,,"textBox.Select(index.Value > textBox.TextLength ? textBox.TextLength : index.Value, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,49,5,"M:System.Windows.Forms.TextBoxBase.Select(System.Int32,System.Int32)",,,,,"textBox.Select(index.Value > textBox.TextLength ? textBox.TextLength : index.Value, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,46,3,M:System.Windows.Forms.Control.Focus,,,,,"if (textBox.Focus())  			{  				if (index.HasValue)  					textBox.Select(index.Value > textBox.TextLength ? textBox.TextLength : index.Value, 0);    				return true;  			}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,29,2,T:System.Windows.Forms.Control,,,,,"public static bool ControlHasFocus(this ContainerControl container, Control control)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,29,2,T:System.Windows.Forms.ContainerControl,,,,,"public static bool ControlHasFocus(this ContainerControl container, Control control)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,33,4,T:System.Windows.Forms.Control,,,,,Control activeControl = container.ActiveControl;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,33,4,P:System.Windows.Forms.ContainerControl.ActiveControl,,,,,Control activeControl = container.ActiveControl;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,17,2,T:System.Windows.Forms.Control,,,,,public static void ResumeDrawing(this Control control)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,26,3,M:System.Windows.Forms.Control.Invalidate,,,,,control.Invalidate();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,24,3,M:System.Windows.Forms.NativeWindow.DefWndProc(System.Windows.Forms.Message@),,,,,window.DefWndProc(ref msgResumeUpdate);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,23,3,P:System.Windows.Forms.Control.Handle,,,,,var window = NativeWindow.FromHandle(control.Handle);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,23,3,T:System.Windows.Forms.NativeWindow,,,,,var window = NativeWindow.FromHandle(control.Handle);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Utils\ControlHelper.cs,23,3,T:System.Windows.Forms.NativeWindow,,,,,var window = NativeWindow.FromHandle(control.Handle);
